tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.04,flat_0p0,0,10,0.41663816019350747,0.3990945169798157,0.0,444045024560.0,444045024560.0
0.0425,base_1p7,1,0,1.0,0.7,491426402545.84033,0.0,0.0
0.0425,low_1p0,0,9,0.5817759191361012,0.5451432268237872,0.0,549806790623.7373,549806790623.7373
0.0425,hard_0p5,0,10,0.4920140073001164,0.46710094294541393,0.0,493019085516.6057,493019085516.6057
0.0425,flat_0p0,0,10,0.4223938220101265,0.4020633608102675,0.0,444045024560.0,444045024560.0
0.045,base_1p7,1,0,1.0,0.7,634864692652.2417,0.0,0.0
0.045,low_1p0,0,8,0.5887973251862986,0.5477430586695469,0.0,549806790623.7373,549806790623.7373
0.045,hard_0p5,0,10,0.49821908878367394,0.46994581986571365,0.0,493019085516.6057,493019085516.6057
0.045,flat_0p0,0,10,0.4281494838267454,0.4050322046407194,0.0,444045024560.0,444045024560.0
0.0475,base_1p7,1,0,1.0,0.7,778302982758.6426,0.0,0.0
0.0475,low_1p0,0,6,0.5958187312364959,0.5503428905153064,0.0,549806790623.7373,549806790623.7373
0.0475,hard_0p5,0,10,0.5044241702672316,0.4727906967860134,0.0,493019085516.6057,493019085516.6057
0.0475,flat_0p0,0,10,0.4339051456433643,0.40800104847117125,0.0,444045024560.0,444045024560.0
0.05,base_1p7,1,0,1.0,0.7,921741272865.0425,0.0,0.0
0.05,low_1p0,0,5,0.6028401372866932,0.5529427223610661,0.0,549806790623.7373,549806790623.7373
0.05,hard_0p5,0,10,0.5106292517507892,0.47563557370631315,0.0,493019085516.6057,493019085516.6057
0.05,flat_0p0,0,10,0.43966080745998326,0.41096989230162306,0.0,444045024560.0,444045024560.0
0.0525,base_1p7,1,0,1.0,0.7,1065179562971.4452,0.0,0.0
0.0525,low_1p0,0,4,0.6098615433368906,0.5555425542068256,0.0,549806790623.7373,549806790623.7373
0.0525,hard_0p5,0,10,0.5168343332343468,0.4784804506266129,0.0,493019085516.6057,493019085516.6057
0.0525,flat_0p0,0,10,0.44541646927660217,0.413938736132075,0.0,444045024560.0,444045024560.0
0.055,base_1p7,1,0,1.0,0.7,1187487091053.765,0.0,0.0
0.055,low_1p0,0,3,0.616882949387088,0.5581423860525853,0.0,549806790623.7373,549806790623.7373
0.055,hard_0p5,0,10,0.5230394147179045,0.48132532754691254,0.0,493019085516.6057,493019085516.6057
0.055,flat_0p0,0,10,0.4511721310932211,0.41690757996252675,0.0,444045024560.0,444045024560.0
0.0575,base_1p7,1,0,1.0,0.7,1298522153630.1978,0.0,0.0
0.0575,low_1p0,0,2,0.6239043554372853,0.5607422178983448,0.0,549806790623.7373,549806790623.7373
0.0575,hard_0p5,0,10,0.529244496201462,0.48417020446721226,0.0,493019085516.6057,493019085516.6057
0.0575,flat_0p0,0,10,0.45692779290984004,0.4198764237929787,0.0,444045024560.0,444045024560.0
0.06,base_1p7,1,0,1.0,0.7,1409557216206.6301,0.0,0.0
0.06,low_1p0,1,0,1.0,0.7,0.0,532258113805.77405,532258113805.77405
0.06,hard_0p5,0,9,0.5354495776850197,0.487015081387512,0.0,493019085516.6057,493019085516.6057
0.06,flat_0p0,0,10,0.46268345472645894,0.4228452676234305,0.0,444045024560.0,444045024560.0
0.0625,base_1p7,1,0,1.0,0.7,1520592278783.0627,0.0,0.0
0.0625,low_1p0,1,0,1.0,0.7,0.0,427623661050.2874,427623661050.2874
0.0625,hard_0p5,0,9,0.5416546591685772,0.48985995830781165,0.0,493019085516.6057,493019085516.6057
0.0625,flat_0p0,0,10,0.46843911654307785,0.42581411145388237,0.0,444045024560.0,444045024560.0
0.065,base_1p7,1,0,1.0,0.7,1631627341359.4949,0.0,0.0
0.065,low_1p0,1,0,1.0,0.7,0.0,321680595542.11365,321680595542.11365
0.065,hard_0p5,0,8,0.5478597406521348,0.49270483522811137,0.0,493019085516.6057,493019085516.6057
0.065,flat_0p0,0,10,0.47419477835969676,0.4287829552843342,0.0,444045024560.0,444045024560.0
0.0675,base_1p7,1,0,1.0,0.7,1742662403935.9272,0.0,0.0
0.0675,low_1p0,1,0,1.0,0.7,0.0,214458859705.7998,214458859705.7998
0.0675,hard_0p5,0,7,0.5540648221356924,0.49554971214841115,0.0,493019085516.6057,493019085516.6057
0.0675,flat_0p0,0,10,0.47995044017631566,0.43175179911478606,0.0,444045024560.0,444045024560.0
0.07,base_1p7,1,0,1.0,0.7,1853697466512.3591,0.0,0.0
0.07,low_1p0,1,0,1.0,0.7,0.0,105571830266.41472,105571830266.41472
0.07,hard_0p5,0,6,0.5602699036192501,0.49839458906871087,0.0,493019085516.6057,493019085516.6057
0.07,flat_0p0,0,10,0.4857061019929346,0.434720642945238,0.0,444045024560.0,444045024560.0
0.0725,base_1p7,1,0,1.0,0.7,1964732529088.7908,0.0,0.0
0.0725,low_1p0,1,0,1.0,0.7,4800172695.592804,0.0,0.0
