tau_high,real_return,income_profile,longevity_pool,passed,fail_years,pool_depletion_year,steady_state_deficit,is_structurally_sustainable,max_state_loan,final_state_loan,peak_longevity_retirees,min_repl_low,min_repl_mid,max_loan_to_assets_ratio,final_longevity_pool,total_longevity_payouts,total_longevity_backstop
0.1,0.025,True,True,True,0,,17328245603.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,4120285651079.358,1357069560000.0,0.0
0.125,0.0,False,False,False,6,88,-64821169400.0,False,444045024560.0,444045024560.0,0,0.6934649843717665,0.5517616985968709,0.1,0.0,0.0,0.0
0.125,0.0,False,True,False,10,68,-64821169400.0,False,538113870794.31177,538113870794.31177,1499879,0.6934649843717665,0.5517616985968709,0.11996404685426816,45175947454.410065,1217665564888.7073,0.0
0.125,0.0,True,False,False,10,70,-104384749547.0,False,327801538938.8,327801538938.8,0,0.539998437948647,0.45018763185988847,0.09999999999999999,0.0,0.0,0.0
0.125,0.0,True,True,False,10,62,-104384749547.0,False,407073875542.6348,407073875542.6348,1499879,0.539998437948647,0.45018763185988847,0.12418302759055529,0.0,792723366038.3479,0.0
0.125,0.005,False,False,True,0,,-39507461356.17023,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.005,False,True,False,10,76,-39507461356.17023,False,574985297053.8584,574985297053.8584,1499879,0.7967280270807514,0.616430698075292,0.10698749909691366,444131396567.42096,1357069560000.0,0.0
0.125,0.005,True,False,False,10,75,-85799116032.08786,False,361042334633.45087,361042334633.45087,0,0.6043501993255768,0.5015476949701261,0.1,0.0,0.0,0.0
0.125,0.005,True,True,False,10,64,-85799116032.08786,False,455849262271.52716,455849262271.52716,1499879,0.6043501993255768,0.5015476949701261,0.126259227393466,0.0,1057096711480.8251,0.0
0.125,0.01,False,False,True,0,,-8514982801.626205,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.01,False,True,True,0,,-8514982801.626205,False,0.0,0.0,1499879,1.0,0.7,0.0,1646578608813.419,1357069560000.0,0.0
0.125,0.01,True,False,False,5,88,-63398975562.69656,False,399187404178.23395,399187404178.23395,0,0.6869648854567852,0.5615570384498375,0.1,0.0,0.0,0.0
0.125,0.01,True,True,False,10,67,-63398975562.69656,False,504423504762.1051,504423504762.1051,1499879,0.6869648854567852,0.5615570384498375,0.1221281687163071,138405729576.84756,1341216369131.126,0.0
0.125,0.01735,False,False,True,0,,42413776920.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.125,0.01735,False,True,True,0,,42413776920.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,6158525797916.607,1357069560000.0,0.0
0.125,0.01735,True,False,True,0,,-21674313875.88275,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.01735,True,True,True,0,88,-21674313875.88275,False,234278807646.7488,234278807646.7488,1499879,1.0,0.7,0.03859181584055053,1410217570079.683,1357069560000.0,0.0
0.125,0.025,False,False,True,0,,62034015373.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.125,0.025,False,True,True,0,,62034015373.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,12306050061758.207,1357069560000.0,0.0
0.125,0.025,True,False,True,0,,28652889164.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.125,0.025,True,True,True,0,,28652889164.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,6342988657650.721,1357069560000.0,0.0
0.15,0.0,False,False,True,0,,-50753289200.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.0,False,True,False,10,74,-50753289200.0,False,537577232460.15454,537577232460.15454,1499879,0.7599910578270707,0.5839332666894193,0.11435801790541858,260376529001.5454,1357069560000.0,0.0
0.15,0.0,True,False,False,10,75,-93060105986.0,False,327801538938.8,327801538938.8,0,0.589903752186042,0.4772896370722713,0.09999999999999999,0.0,0.0,0.0
0.15,0.0,True,True,False,10,64,-93060105986.0,False,423139562832.91626,423139562832.91626,1499879,0.589903752186042,0.4772896370722713,0.12908406842834125,0.0,1000046348941.1617,0.0
0.15,0.005,False,False,True,0,,-25439581156.170227,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.005,False,True,True,0,90,-25439581156.170227,False,245939693908.4926,245939693908.4926,1499879,1.0,0.7,0.04118017486242731,1042093010313.2849,1357069560000.0,0.0
0.15,0.005,True,False,False,10,84,-74474472471.08786,False,361042334633.45087,361042334633.45087,0,0.6570069645561156,0.5279595784529549,0.1,0.0,0.0,0.0
0.15,0.005,True,True,False,10,67,-74474472471.08786,False,470577725597.0071,470577725597.0071,1499879,0.6570069645561156,0.5279595784529549,0.12759204529421447,77719786036.33794,1280787566792.0095,0.0
0.15,0.01,False,False,True,0,,5552897398.373795,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01,False,True,True,0,,5552897398.373795,True,0.0,0.0,1499879,1.0,0.7,0.0,2993449669238.08,1357069560000.0,0.0
0.15,0.01,True,False,True,0,,-52074332001.69656,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01,True,True,False,10,72,-52074332001.69656,False,518994363575.61255,518994363575.61255,1499879,0.7439488879426039,0.5867587928173318,0.11328167907166735,589576090566.7064,1357069560000.0,0.0
0.15,0.01735,False,False,True,0,,56481657120.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.15,0.01735,False,True,True,0,,56481657120.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,8147574609827.889,1357069560000.0,0.0
0.15,0.01735,True,False,True,0,,-10349670314.882751,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01735,True,True,True,0,,-10349670314.882751,False,0.0,0.0,1499879,1.0,0.7,0.0,2656921531545.582,1357069560000.0,0.0
0.15,0.025,False,False,True,0,,76101895573.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.15,0.025,False,True,True,0,,76101895573.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,15360907619104.662,1357069560000.0,0.0
0.15,0.025,True,False,True,0,,39977532725.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.15,0.025,True,True,True,0,,39977532725.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,8565691664222.089,1357069560000.0,0.0
0.175,0.0,False,False,True,0,,-36685409000.000015,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.175,0.0,False,True,False,3,82,-36685409000.000015,False,519622140148.5231,519622140148.5231,1499879,0.8265171312823748,0.6161048347819676,0.10176241108587222,665778415885.2305,1357069560000.0,0.0
0.175,0.0,True,False,False,10,82,-81735462425.0,False,327801538938.8,327801538938.8,0,0.6398090664234367,0.5043916422846542,0.09999999999999999,0.0,0.0,0.0
0.175,0.0,True,True,False,10,67,-81735462425.0,False,435786363540.8329,435786363540.8329,1499879,0.6398090664234367,0.5043916422846542,0.13162917460845638,32697185063.076187,1192764580957.2524,0.0
0.175,0.005,False,False,True,0,,-11371700956.170242,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.175,0.005,False,True,True,0,,-11371700956.170242,False,0.0,0.0,1499879,1.0,0.7,0.0,1839251548773.424,1357069560000.0,0.0
0.175,0.005,True,False,True,0,97,-63149828910.08786,False,139979401996.7035,139979401996.7035,0,1.0,0.7,0.038770910934535684,0.0,0.0,0.0
0.175,0.005,True,True,False,10,71,-63149828910.08786,False,480983685119.73694,480983685119.73694,1499879,0.7096637297866544,0.5543714619357839,0.12181194089808911,338152479430.71606,1357069560000.0,0.0
0.175,0.01,False,False,True,0,,19620777598.37378,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.175,0.01,False,True,True,0,,19620777598.37378,True,0.0,0.0,1499879,1.0,0.7,0.0,4340320729662.7383,1357069560000.0,0.0
0.175,0.01,True,False,True,0,,-40749688440.69656,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.175,0.01,True,True,False,7,79,-40749688440.69656,False,530707650809.39984,530707650809.39984,1499879,0.8009328904284225,0.6119605471848261,0.10383291705832204,1119295574220.1272,1357069560000.0,0.0
