tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.01,drawdown_5y_then_1p5,0,10,0.5914726915902303,0.6098006940929794,0.0,615901772525.2268,615901772525.2268
0.01,crash_then_recover,0,10,0.6419055362820509,0.654108685903902,0.0,645339002531.931,645339002531.931
0.01,stagflation_proxy,0,10,0.5276839336078921,0.5485566556578031,0.0,575034346120.3383,575034346120.3383
0.0125,drawdown_5y_then_1p5,0,10,0.600443854724326,0.6117814495313955,0.0,615901772525.2268,615901772525.2268
0.0125,crash_then_recover,0,10,0.652713946356801,0.6554955655740503,0.0,645339002531.931,645339002531.931
0.0125,stagflation_proxy,0,10,0.5352559153506395,0.5509845346143232,0.0,575034346120.3383,575034346120.3383
0.015,drawdown_5y_then_1p5,0,10,0.6094150178584218,0.6137622049698114,0.0,615901772525.2268,615901772525.2268
0.015,crash_then_recover,0,8,0.663520421206154,0.6568804068202319,0.0,645339002531.931,645339002531.931
0.015,stagflation_proxy,0,10,0.5428278970933871,0.5534124135708431,0.0,575034346120.3383,575034346120.3383
0.0175,drawdown_5y_then_1p5,0,10,0.6183861809925175,0.6157429604082274,0.0,615901772525.2268,615901772525.2268
0.0175,crash_then_recover,0,6,0.6743268960555069,0.6582652480664133,0.0,645339002531.931,645339002531.931
0.0175,stagflation_proxy,0,10,0.5503998788361345,0.5558402925273632,0.0,575034346120.3383,575034346120.3383
0.02,drawdown_5y_then_1p5,0,10,0.6273988571838768,0.617762900176586,0.0,615901772525.2268,615901772525.2268
0.02,crash_then_recover,0,4,0.6851333709048597,0.6596500893125948,0.0,645339002531.931,645339002531.931
0.02,stagflation_proxy,0,10,0.5579718605788819,0.5582681714838834,0.0,575034346120.3383,575034346120.3383
0.0225,drawdown_5y_then_1p5,0,9,0.6363713327367908,0.6197432225184105,0.0,615901772525.2268,615901772525.2268
0.0225,crash_then_recover,0,1,0.883176028215753,0.6850290999678534,0.0,645339002531.931,645339002531.931
0.0225,stagflation_proxy,0,10,0.5655438423216294,0.5606960504404034,0.0,575034346120.3383,575034346120.3383
0.025,drawdown_5y_then_1p5,0,7,0.6453438082897047,0.6217235448602351,0.0,615901772525.2268,615901772525.2268
0.025,crash_then_recover,1,0,1.0,0.7,0.0,547730637388.38153,547730637388.38153
0.025,stagflation_proxy,0,10,0.5731158240643768,0.5631239293969235,0.0,575034346120.3383,575034346120.3383
0.0275,drawdown_5y_then_1p5,0,5,0.6543162838426189,0.6237038672020596,0.0,615901772525.2268,615901772525.2268
0.0275,crash_then_recover,1,0,1.0,0.7,0.0,430830786795.5669,430830786795.5669
0.0275,stagflation_proxy,0,10,0.5806878058071243,0.5655518083534435,0.0,575034346120.3383,575034346120.3383
0.03,drawdown_5y_then_1p5,0,3,0.6632887593955329,0.6256841895438842,0.0,615901772525.2268,615901772525.2268
0.03,crash_then_recover,1,0,1.0,0.7,0.0,309224500673.6794,309224500673.6794
0.03,stagflation_proxy,0,10,0.5882597875498717,0.5679796873099636,0.0,575034346120.3383,575034346120.3383
0.0325,drawdown_5y_then_1p5,0,1,0.6862165274581756,0.6307445957912856,0.0,615901772525.2268,615901772525.2268
0.0325,crash_then_recover,1,0,1.0,0.7,0.0,181710265982.60565,181710265982.60565
0.0325,stagflation_proxy,0,10,0.5958333093367211,0.5704089907015677,0.0,575034346120.3383,575034346120.3383
0.035,drawdown_5y_then_1p5,1,0,1.0,0.7,0.0,553276900526.0668,553276900526.0668
